kegg,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
K03821,183.9427128,-2.509159049,1.681837303,-1.491915445,0.135721313,0.364786967
K12448,9868.600809,0.731205668,0.490118483,1.491895722,0.135726484,0.364786967
K17621,470.1924279,-2.358739296,1.581118305,-1.491817082,0.135747104,0.364786967
K14587,39.01685839,-2.845908956,1.908068826,-1.491512737,0.13582693,NA
K02010,838.8739367,1.944189058,1.303591742,1.491409461,0.135854026,0.364930731
K02825,1020.246855,-2.096796087,1.407825717,-1.489386123,0.136385721,0.366142464
K03741,637.9515856,1.80373413,1.21114096,1.489285054,0.136412322,0.366142464
K11425,4418.091575,-2.035186527,1.36693551,-1.488867991,0.136522134,0.366172742
K13006,3725.236039,1.543748371,1.036927052,1.488772396,0.136547314,0.366172742
K05989,23569.3264,-0.491507875,0.330174294,-1.488631561,0.136584416,0.366172742
K06392,82.44059955,2.153617938,1.446921864,1.488413432,0.136641897,0.366183129
K13087,1917.047305,-2.332485764,1.569333508,-1.486290678,0.137202251,0.36737283
K02171,63584.47907,0.772788006,0.519974083,1.486204853,0.137224944,0.36737283
K03097,74.30627554,-2.484492865,1.671928236,-1.486004489,0.137277934,0.36737283
K05020,1122.033129,-1.989861909,1.339147007,-1.485917453,0.137300957,0.36737283
K00662,1497.204958,1.214243157,0.817525441,1.485266508,0.13747324,0.367689782
K00981,9012.749031,-0.707314167,0.476827686,-1.483374787,0.137974862,0.368887
K17277,5289.04308,1.219586887,0.82240983,1.482942983,0.13808956,0.369049212
K07794,5176.504806,-1.968189941,1.327540284,-1.482583967,0.13818498,0.369111682
K04720,7712.445109,0.797550112,0.538043008,1.482316655,0.138256059,0.369111682
K03925,31474.75698,0.802150166,0.541172349,1.482245291,0.13827504,0.369111682
K16755,386.801824,2.071773652,1.398561763,1.481360142,0.13851063,0.369596138
K19115,624.3311999,-1.470966724,0.993207063,-1.481027249,0.138599312,0.369688365
K14650,937.4409008,-0.888364209,0.600055265,-1.480470651,0.138747687,0.369901054
K13191,185.801413,-2.193903245,1.482044676,-1.480321936,0.138787352,0.369901054
K01934,17469.35306,0.726259213,0.490704197,1.480034645,0.138864001,0.369942046
K15190,366.1787032,-2.769686722,1.871589039,-1.479858379,0.138911045,0.369942046
K09060,426.750489,-1.731231848,1.170517643,-1.479030973,0.139132037,0.370382919
K08659,8565.667924,0.588740469,0.398111609,1.478832708,0.139185032,0.370382919
K18697,500.5101684,2.308640653,1.562105533,1.477903128,0.139433709,0.370833714
K12811,181.1496894,3.394114683,2.296744609,1.477793687,0.139463009,0.370833714
K18692,367.8858272,1.56979309,1.062935605,1.47684684,0.139716697,0.371188262
K11292,1884.643934,-1.989701492,1.347304388,-1.476801761,0.139728785,0.371188262
K18443,1361.673505,-2.586268016,1.751479651,-1.476618935,0.139777813,0.371188262
K16789,8827.103685,-0.724666652,0.490805246,-1.476485139,0.139813702,0.371188262
K01900,2144.4165,-2.576104532,1.74545645,-1.475891612,0.139972992,0.371271271
K00515,1104.453159,-4.601421816,3.117995368,-1.475762878,0.14000756,0.371271271
K07757,2728.137711,-1.198832003,0.812348256,-1.475761158,0.140008021,0.371271271
K07478,20727.70188,-0.627013742,0.42507691,-1.475059518,0.140196543,0.371626924
K11154,117.5348136,2.612509843,1.773206961,1.473324829,0.140663469,0.372719998
K02348,1575.765259,1.462998416,0.993639086,1.472363996,0.14092261,0.373261865
K04088,19258.12638,0.857118488,0.582892895,1.470456227,0.141438233,0.37448239
K06403,1090.738596,-1.765572576,1.201315645,-1.469699145,0.141643254,0.374744571
K01421,62947.43795,0.616378411,0.419394793,1.469685416,0.141646974,0.374744571
K01584,180.5789873,2.091049945,1.423399141,1.469053819,0.141818192,0.375037722
K00446,892.117333,-1.967998613,1.339802911,-1.468871725,0.141867585,0.375037722
K03414,311.8705262,3.050429166,2.077477941,1.468332878,0.142013824,0.375279084
K15618,580.7855785,-3.708455273,2.526374536,-1.467896078,0.142132454,0.375447328
K01259,1260.577528,1.07012457,0.729518216,1.466892184,0.142405387,0.376022883
K06898,10519.65134,-1.524857811,1.039684038,-1.466655017,0.142469925,0.376047937
K00989,1224.87306,1.601924143,1.092599692,1.466158333,0.142605157,0.376259493
K12613,379.7229191,-4.847405282,3.30682159,-1.465880499,0.142680846,0.376313844
K05593,2602.970916,1.22280235,0.83432935,1.465611093,0.142754268,0.376362177
K12234,3555.972726,-0.758686959,0.518084947,-1.464406492,0.143082915,0.3770831
K03406,119483.3677,0.635610099,0.434401007,1.463187444,0.143416096,0.377763628
K14059,147180.7026,-1.025565795,0.700977774,-1.463050374,0.143453596,0.377763628
K18809,31499.61093,0.369242324,0.252412105,1.462855058,0.143507044,0.377763628
K15987,13676.10835,-0.764174751,0.522476409,-1.462601444,0.143576468,0.377800791
K12952,11680.29887,-1.064514885,0.727999513,-1.4622467,0.143673619,0.377910855
K11345,462.148233,2.302467628,1.575585278,1.461341167,0.143921838,0.378418042
K00520,4000.118616,-1.129682523,0.773719204,-1.460067835,0.144271432,0.379104987
K09408,634.5207332,-1.837863907,1.258823511,-1.459985368,0.144294095,0.379104987
K18808,10687.50647,1.238853262,0.849266107,1.458733902,0.144638361,0.379863378
K06186,1420.928496,-1.153017534,0.791722042,-1.456341334,0.145298284,0.381449877
K05921,132.468846,2.23493104,1.535477451,1.455528401,0.145523033,0.381758236
K10586,251.3852763,-3.494252249,2.400702815,-1.455512206,0.145527514,0.381758236
K06351,1205.319831,1.824132973,1.254890122,1.453619677,0.146051779,0.382757606
K07502,2873.541854,1.048099443,0.721060694,1.453552317,0.146070465,0.382757606
K02800,1306.994625,-2.087329546,1.436162881,-1.453407252,0.146110714,0.382757606
K08845,976.4595976,-3.231192974,2.223532616,-1.453179931,0.146173803,0.382757606
K03066,1162.923736,-2.631196108,1.810713753,-1.453126483,0.146188639,0.382757606
K10435,157.8593062,-1.988959516,1.369823087,-1.451982767,0.146506397,0.383442604
K05515,45811.86027,0.584623679,0.402893037,1.451064241,0.146761973,0.383964395
K03811,2002.980141,1.152439224,0.794397957,1.450707688,0.146861274,0.383999651
K02567,350.2123411,1.645248476,1.134175267,1.450612197,0.146887877,0.383999651
K03415,60116.32386,0.435350386,0.300256769,1.449926965,0.147078887,0.384351904
K08576,574.3452516,-3.041798952,2.099451692,-1.448853986,0.147378364,0.384987229
K14345,607.6753056,2.9251337,2.019289126,1.448595777,0.147450501,0.385028431
K11746,4368.916121,-0.966601245,0.667970144,-1.447072528,0.147876611,0.385993555
K09855,2654.267282,-1.737000754,1.200590132,-1.446789131,0.147955992,0.386053239
K03628,18504.79758,-0.492395248,0.340687592,-1.445298449,0.148374073,0.386868133
K07560,6820.82974,0.607465851,0.420312549,1.445271746,0.148381571,0.386868133
K07568,16625.27237,0.643837439,0.445839679,1.444100805,0.148710622,0.387578122
K04438,1767.167317,-2.464917991,1.708231045,-1.442965223,0.149030268,0.388263067
K10635,45.66101962,-3.636036477,2.519852227,-1.442956233,0.149032801,NA
K14003,582.1362837,-2.785332,1.930582979,-1.442741405,0.149093331,0.388279277
K09388,1859.255384,-1.178546412,0.81711138,-1.442332638,0.149208557,0.38842812
K05755,75.76336239,-3.4827688,2.415008361,-1.442135297,0.149264209,0.38842812
K02035,83374.46137,0.544941131,0.378127407,1.441157452,0.149540206,0.388893868
K03279,1223.971781,1.410649262,0.978871272,1.441097826,0.149557048,0.388893868
K06065,4884.274059,-2.848030367,1.97696762,-1.44060547,0.149696174,0.388960044
K01699,717.2930023,-1.609127017,1.116980225,-1.44060475,0.149696378,0.388960044
K12872,885.2589155,-3.803226985,2.641286552,-1.439914568,0.149891571,0.389242308
K02906,56999.67547,0.495664155,0.344254794,1.439817728,0.149918974,0.389242308
K11063,176956.1409,0.712902764,0.495505877,1.438737251,0.150224981,0.389790734
K15189,1072.54237,-2.441978587,1.697741419,-1.438368977,0.15032939,0.389790734
K05571,1472.98518,-1.649453903,1.146775994,-1.438340104,0.150337578,0.389790734
K16199,1388.084799,-1.354206485,0.941554629,-1.438266505,0.150358452,0.389790734
K00330,803.400655,1.320498772,0.918519964,1.43763753,0.150536927,0.390105366
K05803,49.18502375,-3.725406,2.591529186,-1.437531948,0.150566902,NA
K05802,1122.188403,2.451461223,1.707213501,1.435942968,0.15101857,0.391205102
K00745,1149.43131,1.453768447,1.013031758,1.435067001,0.151268006,0.391549258
K12821,1418.581314,-2.375592269,1.655476652,-1.434989896,0.151289977,0.391549258
K03029,603.5612722,-1.830625609,1.275810493,-1.43487267,0.151323385,0.391549258
K02860,10370.65879,0.71221549,0.496431799,1.434669358,0.15138134,0.391550902
K13920,2785.148952,-0.867965995,0.605644359,-1.433128174,0.151821211,0.392540005
K05879,3743.392361,0.782265559,0.546160289,1.432300324,0.15205789,0.393003197
K16509,2650.650224,1.044876274,0.729733244,1.431860591,0.152183723,0.393179656
K02484,16923.90965,-0.532811284,0.372213565,-1.431466593,0.152296535,0.393322355
K11718,2561.408987,-2.972212134,2.076803711,-1.431147353,0.152387988,0.393409807
K08138,422.2797487,-1.113631898,0.778299552,-1.430852549,0.152472479,0.393479223
K09048,531.6234751,-3.026603828,2.11566979,-1.430565319,0.152554833,0.393543075
K12805,5993.549142,-1.756240611,1.228327725,-1.429781788,0.152779658,0.39397427
K07299,945.2545915,-1.929561326,1.350206328,-1.429086271,0.152979439,0.394340584
K02090,32.61434093,-5.473327875,3.830901756,-1.428730942,0.153081581,NA
K14651,245.087144,3.235287914,2.265446059,1.428101941,0.153262519,0.394778424
K12999,29911.02135,0.648645661,0.454203839,1.428093744,0.153264878,0.394778424
K07491,8002.753135,0.727060067,0.50920668,1.427829004,0.153341082,0.394794855
K11267,1434.014768,-2.310238624,1.618210252,-1.427650468,0.15339249,0.394794855
K02795,2064.550846,1.464396378,1.025868844,1.427469396,0.153444641,0.394794855
K14021,746.2971377,-3.140089044,2.200095194,-1.427251445,0.153507431,0.394807703
K00266,62494.29715,0.589116234,0.412827908,1.427026185,0.153572347,0.394826008
K11793,412.4214369,-2.821623314,1.977623114,-1.426775048,0.153644745,0.394863528
K14575,868.297719,-2.01087089,1.410294287,-1.425851972,0.153911075,0.395251689
K08164,74.99683388,-2.257231667,1.583567424,-1.425409258,0.154038933,0.395251689
K18891,15780.23372,-0.569450195,0.399504587,-1.42539088,0.154044243,0.395251689
K09022,18900.0771,0.757376844,0.531389447,1.425276412,0.154077316,0.395251689
K09338,90.46495473,2.465292318,1.729726833,1.425249508,0.15408509,0.395251689
K01589,691.5461473,-1.324914837,0.93014692,-1.424414583,0.154326495,0.395722331
K08239,1138.767697,1.150968916,0.808466011,1.423645398,0.154549147,0.39614455
K00639,13039.08387,0.665807455,0.467792077,1.423297845,0.154649831,0.396253938
K03289,3149.340587,-0.639510955,0.449460933,-1.422839915,0.154782567,0.396445339
K02649,3668.808795,-1.819331085,1.279904301,-1.421458685,0.155183456,0.397247136
K17240,3530.305143,1.409000057,0.991303635,1.421360729,0.155211917,0.397247136
K18693,75.52070314,-4.827173884,3.398763443,-1.420273569,0.155528053,0.397838375
K19325,463.2289657,-3.324905848,2.341209562,-1.420165842,0.155559406,0.397838375
K03346,475.076669,-1.270913977,0.895322957,-1.419503395,0.155752308,0.398058847
K17252,349.889084,-2.673245801,1.883270924,-1.419469587,0.155762157,0.398058847
K01234,38027.21044,0.697897446,0.491746762,1.419221233,0.155834528,0.398094861
K11699,174.254949,-2.101483579,1.481443716,-1.418537576,0.156033876,0.398379251
K03274,119.0762932,2.018498078,1.423041364,1.418439498,0.156062491,0.398379251
K02103,15697.33693,-1.107061658,0.780702609,-1.418032481,0.156181282,0.398392719
K10738,843.7128034,-3.734264327,2.633432301,-1.418021768,0.15618441,0.398392719
K09981,561.1925218,-2.584795226,1.823516121,-1.417478681,0.156343023,0.398648447
K00015,1062.913137,-1.672166484,1.18079229,-1.416139399,0.156734695,0.399498022
K06439,288.3475802,1.795209767,1.269272081,1.414361659,0.157255742,0.400348015
K10742,6470.897903,-1.184254004,0.837349054,-1.414289535,0.157276908,0.400348015
K06951,7418.869125,0.612559729,0.433226409,1.413948262,0.157377094,0.400348015
K14012,1364.844335,1.575322474,1.114308213,1.413722393,0.157443428,0.400348015
K01837,970.4748022,1.522102416,1.076686483,1.413691395,0.157452533,0.400348015
K00972,6353.656264,0.897166655,0.634659134,1.413619701,0.157473594,0.400348015
K02551,1638.033489,-1.151884214,0.814889334,-1.413546804,0.15749501,0.400348015
K17200,2383.828381,-3.552346894,2.513327698,-1.41340379,0.157537032,0.400348015
K05157,393.0348923,-2.87512779,2.034722991,-1.413031554,0.157646446,0.400477083
K04769,3921.243405,1.320076994,0.934462905,1.41265853,0.157756151,0.40060679
K03739,631.1278417,-2.19198561,1.552393477,-1.412003878,0.157948819,0.400947003
K13625,560.240436,-1.108579324,0.785556356,-1.411202794,0.158184827,0.401396935
K08998,3447.917356,-1.046061755,0.741665724,-1.410422136,0.158415073,0.401831921
K06572,395.2141882,-1.712131335,1.214182741,-1.410110091,0.158507178,0.401891279
K01975,386.3201698,-2.303901652,1.634217181,-1.409789151,0.158601951,0.401891279
K01181,16797.6794,0.924417603,0.655733883,1.409745061,0.158614974,0.401891279
K06888,3731.482471,1.158990836,0.822559023,1.409006288,0.158833309,0.402295266
K06595,29767.62493,0.433024168,0.307514348,1.408142971,0.159088739,0.402792875
K10837,132.9211922,2.655264054,1.886146133,1.407772181,0.15919854,0.402921538
K00831,45649.0553,0.397521763,0.282435656,1.40747726,0.159285916,0.402993367
K07999,68.10419805,-2.246506916,1.59655376,-1.407097569,0.159398459,0.403128794
K10441,19279.94437,0.663867032,0.47187091,1.406882724,0.159462167,0.40314066
K02805,5937.456127,0.517888195,0.368265907,1.406288731,0.159638405,0.403436901
K07742,4387.480896,1.143111722,0.813133399,1.40581081,0.159780311,0.403646193
K09675,599.5558379,1.95007144,1.387770903,1.405182539,0.159967005,0.403853687
K05816,481.2147636,-3.339359177,2.376653393,-1.40506781,0.160001115,0.403853687
K18059,573.3255041,-1.157940878,0.824268851,-1.404809701,0.160077874,0.403853687
K09702,5257.141572,-0.561330443,0.399609898,-1.404696047,0.160111682,0.403853687
K04066,27008.32029,-0.749773108,0.533896237,-1.404342371,0.160216923,0.403853687
K02448,463.8910484,1.452214336,1.034315897,1.404033662,0.160308826,0.403853687
K16479,6234.568729,-1.71640914,1.222517863,-1.403995141,0.160320297,0.403853687
K18341,1112.661181,-2.549790428,1.81632275,-1.403820124,0.16037242,0.403853687
K16685,902.7806853,-2.954623185,2.104813422,-1.403745887,0.160394533,0.403853687
K03624,32420.50292,0.518563171,0.369703389,1.402646514,0.160722274,0.404529791
K00087,1531.490316,1.933694915,1.380448768,1.400772677,0.161282062,0.405789231
K02765,2391.982743,-2.131752866,1.52400659,-1.398781921,0.161878389,0.407046852
K10547,7870.949854,0.876343544,0.626598134,1.398573497,0.161940919,0.407046852
K09134,940.2111636,-1.438479722,1.028581932,-1.39850767,0.161960671,0.407046852
K19289,296.9122517,-1.390436769,0.995112731,-1.397265582,0.162333722,0.407726776
K13211,2636.819851,-1.92278136,1.376315862,-1.39704948,0.162398692,0.407726776
K13038,14936.08915,0.728253256,0.521293868,1.397010976,0.162410271,0.407726776
K13012,7672.818941,-1.492764209,1.068881009,-1.396567248,0.162543745,0.407826409
K04456,1913.571276,-2.211057997,1.583305628,-1.396482118,0.162569362,0.407826409
K14452,243.8389904,-3.625671176,2.596831857,-1.396190195,0.162657229,0.407853208
K17266,2357.119352,-1.697631386,1.216024826,-1.39604994,0.162699457,0.407853208
K06980,139.6302145,1.676148592,1.20098415,1.395645888,0.162821157,0.408008555
K04269,32.18546102,-5.169771342,3.704897772,-1.395388392,0.16289875,NA
K02585,1581.482535,0.853794455,0.612295383,1.394415961,0.163192031,0.408598589
K06509,424.9042577,-1.607623087,1.152904947,-1.39441078,0.163193595,0.408598589
K09042,1437.308091,-2.993515451,2.147012621,-1.394270077,0.163236063,0.408598589
K00198,29241.75623,0.628522872,0.450949057,1.393777994,0.163384655,0.408802943
K18730,1825.421123,-2.753138162,1.976035122,-1.39326378,0.163540039,0.408802943
K14989,217.3817205,1.9595206,1.406455954,1.393232823,0.163549397,0.408802943
K09690,9043.687773,0.521225059,0.374118786,1.393207395,0.163557084,0.408802943
K02450,2023.793686,-0.875830625,0.628764397,-1.392939279,0.163638153,0.408855971
K11427,927.9352443,-2.285080165,1.642376353,-1.391325539,0.164126733,0.409926768
K13213,3350.029297,-2.360862892,1.698698287,-1.389807072,0.16458747,0.410927269
K13643,5767.644419,0.539790456,0.388699518,1.388708839,0.164921305,0.411610317
K10068,1690.587444,1.681645467,1.21118289,1.388432317,0.165005441,0.411669894
K01201,2656.094065,-0.962465198,0.693491329,-1.387854697,0.165181295,0.41195817
K13182,157.7366374,-3.884640378,2.800068107,-1.387337818,0.165338776,0.412114486
K19220,821.0133425,1.866772947,1.345661506,1.387252989,0.165364633,0.412114486
K18454,149.9355903,2.060376327,1.486935191,1.38565308,0.165852862,0.413180488
K06596,1402.749391,1.513734145,1.093029726,1.384897509,0.166083809,0.413604994
K13641,9282.416682,-0.92474419,0.667863786,-1.384629934,0.166165653,0.41365801
K14536,986.2044541,-3.868707078,2.794576621,-1.3843625,0.166247485,0.413710955
K02412,40731.50416,-0.509597578,0.368199397,-1.384026105,0.166350462,0.413816461
K17080,3201.67962,1.23957001,0.896250943,1.383061318,0.166646065,0.414264596
K02557,42898.31439,0.336946935,0.243744977,1.382374887,0.166856623,0.414264596
K16025,2410.534951,0.853778951,0.617674539,1.38224728,0.166895787,0.414264596
K02477,10201.76719,-0.605959329,0.438422273,-1.382136279,0.166929861,0.414264596
K03564,18875.97438,0.552543697,0.399809317,1.38201806,0.166966156,0.414264596
K11127,4014.050008,-1.777125894,1.285949683,-1.381956011,0.166985208,0.414264596
K06233,554.1850304,-2.969323406,2.148665909,-1.381938157,0.166990691,0.414264596
K01869,67035.76504,0.41914935,0.303323355,1.381856502,0.167015766,0.414264596
K05645,880.4087725,-2.718449919,1.967691368,-1.381542839,0.167112116,0.414353126
K07091,2136.400103,-0.746779108,0.540663772,-1.381226461,0.167209341,0.414443763
K06976,2121.441821,0.932771176,0.675462811,1.38093639,0.16729852,0.414514396
K17572,1011.871141,-3.332049845,2.41451594,-1.380007392,0.167584369,0.41507209
K00997,1564.530893,1.724814356,1.250961241,1.378791204,0.16795914,0.415849541
K01972,52279.23156,1.04811638,0.76043242,1.378316274,0.168105661,0.41606151
K12813,318.4381959,2.530987984,1.837323359,1.377540851,0.168345094,0.4165032
K01223,23986.10828,-0.562482411,0.408408278,-1.377255164,0.168433372,0.416570733
K09656,650.2013737,-3.44967069,2.50539666,-1.37689602,0.168544398,0.416694456
K00986,52016.9192,-0.546336207,0.39703132,-1.376053174,0.168805171,0.416937971
K01971,176.7877769,-1.619157668,1.176676777,-1.376042852,0.168808367,0.416937971
K05499,39433.70799,0.484511195,0.352119306,1.375985885,0.168826003,0.416937971
K03665,20394.33386,0.419502212,0.305145459,1.374761443,0.169205415,0.417618613
K11668,681.5856914,-3.269962993,2.378670586,-1.374701908,0.16922388,0.417618613
K10216,412.8621106,-2.112959691,1.537902456,-1.373923088,0.169465561,0.418041012
K03294,26148.98742,-0.612187745,0.445731716,-1.373444436,0.169614224,0.418041012
K01341,387.3390389,1.638156052,1.192770083,1.373404712,0.169626566,0.418041012
K18908,14602.89974,-0.639978363,0.465993929,-1.373362019,0.169639831,0.418041012
K08653,277.7140952,-3.040528,2.214473407,-1.373025294,0.169744484,0.418148059
K02335,41995.96797,0.635704545,0.463131368,1.372622518,0.169869728,0.418305735
K18640,2754.89213,0.737859133,0.537704852,1.372238192,0.1699893,0.418449335
K18928,1555.383801,1.230012128,0.896605995,1.371853562,0.170109029,0.418529314
K19330,999.8912799,-2.786156647,2.031111021,-1.371740204,0.170144328,0.418529314
K10901,5864.54934,-0.724659601,0.528735697,-1.370551684,0.170514753,0.419289517
K00814,828.7009295,2.55411251,1.864093134,1.370163574,0.170635846,0.419324857
K14691,1162.4043,-2.477295037,1.80824895,-1.369996669,0.170687942,0.419324857
K04436,3985.051178,1.298178151,0.947666688,1.369867874,0.17072815,0.419324857
K12875,1313.269643,-2.429766577,1.773916225,-1.369718898,0.170774667,0.419324857
K11636,6445.816685,-1.394194069,1.01805257,-1.369471587,0.17085191,0.41936378
K02996,39360.12026,0.529366254,0.386736,1.368805216,0.17106017,0.41958664
K12893,644.6544084,-1.850164595,1.351860491,-1.36860616,0.171122418,0.41958664
K00737,908.1839702,-1.494617468,1.092433961,-1.368153611,0.171263998,0.41958664
K01507,3782.357079,1.039349403,0.759728974,1.368052871,0.171295527,0.41958664
K08169,156.8357653,2.275413518,1.663250251,1.368052412,0.171295671,0.41958664
K03275,5349.945495,0.854386309,0.624595823,1.367902694,0.171342536,0.41958664
K15894,7093.376939,0.692367591,0.506198272,1.367779444,0.171381124,0.41958664
K07775,20616.64947,0.524924278,0.383825922,1.367610282,0.171434096,0.41958664
K03932,7370.058578,0.88816371,0.650354541,1.365660811,0.17204545,0.420680684
K16271,1530.529116,-1.352253998,0.990251116,-1.365566749,0.172074989,0.420680684
K02204,4100.533544,-0.76903837,0.563241202,-1.365380173,0.172133592,0.420680684
K10707,476.5106258,-3.873455438,2.836999741,-1.36533514,0.172147739,0.420680684
K01839,15807.86609,-0.676461108,0.49550194,-1.365203751,0.17218902,0.420680684
K11615,1041.976603,-2.561629576,1.8771005,-1.364673642,0.172355648,0.420937229
K16258,1181.867332,-1.060584044,0.777297711,-1.364450235,0.172425907,0.420958316
K09777,5052.810378,1.229441913,0.902832142,1.361761347,0.173273214,0.422875785
K13113,62.98224261,-2.552247018,1.874404785,-1.361630656,0.173314475,NA
K12233,1314.925025,-1.656718537,1.217634368,-1.360604283,0.173638777,0.423552645
K02878,35888.84396,0.452391244,0.332520545,1.360491106,0.173674566,0.423552645
K02879,55388.26381,0.542265323,0.39876675,1.359855914,0.173875524,0.423821197
K19374,738.0808552,-3.148551716,2.315535706,-1.359750881,0.173908771,0.423821197
K14954,10547.14759,-1.19341629,0.87814014,-1.359027148,0.174137986,0.424203875
K07085,17677.46837,0.45714966,0.336506793,1.358515401,0.174300199,0.424203875
K01051,22284.99631,0.574562312,0.422947274,1.358472669,0.174313749,0.424203875
K07451,3086.766046,0.729507627,0.537089347,1.358261209,0.174380814,0.424203875
K03667,5489.636641,0.735671252,0.541760582,1.357926872,0.17448689,0.424203875
K02916,21811.26267,0.407784472,0.300304204,1.357904639,0.174493945,0.424203875
K06287,8230.240683,0.644601794,0.474710502,1.357883997,0.174500496,0.424203875
K08051,4012.620524,-1.829186315,1.347606399,-1.357359476,0.174667018,0.424380848
K16290,66.6496912,-3.77958305,2.784708688,-1.357263353,0.174697547,0.424380848
K03551,11445.04099,-0.434056638,0.32019717,-1.355591739,0.175229102,0.425460962
K02410,51839.03101,-0.64766761,0.477816506,-1.355473497,0.175266747,0.425460962
K18677,207.8150152,-1.988623469,1.467334921,-1.355262142,0.175334052,0.425473147
K12478,4885.101983,-1.560125796,1.15173227,-1.354590678,0.175548005,0.42584106
K00612,2408.510751,-1.444223423,1.067648497,-1.352714332,0.17614691,0.427121212
K03431,32932.33005,0.396701886,0.293306117,1.352518282,0.176209574,0.427121212
K18348,10054.27496,-0.86144514,0.637116436,-1.35210001,0.176343324,0.427121212
K12804,2364.312131,1.398395332,1.034320591,1.351994096,0.176377204,0.427121212
K04108,1797.220113,0.916439759,0.677860515,1.3519592,0.176388368,0.427121212
K00176,6888.981911,0.744742723,0.551106559,1.351358845,0.17658051,0.427423607
K03023,548.6030611,2.624805975,1.942605484,1.351178094,0.17663839,0.427423607
K19265,6268.098215,0.721076014,0.533807499,1.350816568,0.176754199,0.427552385
K00742,208.6867664,-2.716572038,2.011403233,-1.350585498,0.176828249,0.427580095
K09275,1966.806321,-2.021935462,1.499082065,-1.348782371,0.177406879,0.428705479
K10695,165.9111623,-3.5851328,2.659067199,-1.348267092,0.177572492,0.428705479
K07403,6605.766199,0.555705151,0.412274141,1.347902028,0.177689896,0.428705479
K08739,702.4661292,1.497511985,1.111027377,1.347862362,0.177702656,0.428705479
K10193,1262.963852,-1.249571906,0.927081876,-1.347854961,0.177705036,0.428705479
K00210,8330.543694,-1.032731301,0.766251246,-1.347771123,0.177732009,0.428705479
K03409,7390.709693,-0.737129871,0.546957354,-1.34769167,0.177757572,0.428705479
K05766,840.9344096,-2.412763254,1.790450744,-1.347573097,0.177795728,0.428705479
K09150,80.82925597,-2.980553804,2.212898243,-1.346900524,0.178012273,0.429049219
K01995,8348.780331,0.748792619,0.556030785,1.346674751,0.178085008,0.429049219
K17487,587.2765513,1.910434604,1.418767399,1.346545322,0.178126714,0.429049219
K11204,11862.28177,-3.607624936,2.680313477,-1.34597127,0.178311782,0.429343596
K18273,4936.551495,-0.685166284,0.509462891,-1.344879669,0.178664097,0.430040326
K02624,231.0509985,2.830981565,2.106871566,1.343689673,0.179048758,0.430763784
K10986,331.5690035,1.697124227,1.263154984,1.343559776,0.179090784,0.430763784
K15701,1106.867881,-2.418702239,1.801447962,-1.342643413,0.179387466,0.431325512
K05132,918.3197338,1.704885667,1.270066988,1.342358854,0.179479669,0.431395362
K02029,12669.80082,0.761432605,0.567423003,1.341913529,0.179624035,0.431590496
K14026,2140.24472,-1.26384404,0.941970549,-1.341702288,0.179692545,0.431603296
K01776,10142.57965,0.434549537,0.323945793,1.341426702,0.179781953,0.431666264
K18440,4892.340893,-1.728837345,1.28904202,-1.341179976,0.179862026,0.431706781
K14688,1155.575863,-2.129361638,1.588103533,-1.340820415,0.179978766,0.431835249
K03520,10471.60132,0.976171273,0.728764203,1.339488505,0.180411694,0.432634471
K03497,45723.54204,-0.940749384,0.702363115,-1.339406018,0.180438531,0.432634471
K10631,923.0913594,-3.097931398,2.313687371,-1.338958512,0.18058418,0.432831765
K18353,468.3307781,-1.150839172,0.859650442,-1.338729227,0.180658838,0.432858829
K02759,1223.007856,0.972462888,0.72789621,1.335991139,0.181552169,0.434837874
K09940,1018.768267,-1.056036582,0.790560322,-1.33580772,0.181612129,0.434837874
K13628,549.6962177,-2.336126331,1.749788222,-1.3350909,0.181846598,0.435246709
K13254,299.0716526,-3.770148419,2.825479103,-1.334339516,0.182092613,0.435682885
K03470,10040.61121,1.107512698,0.830556817,1.333458079,0.182381524,0.436221355
K04691,66.84566707,-2.220468709,1.665765824,-1.33300172,0.182531239,0.436426635
K18359,1555.67542,-1.100692519,0.826007632,-1.332545217,0.182681093,0.436632102
K10824,425.7428586,2.457899292,1.844849743,1.332303241,0.182760563,0.436669256
K01239,7328.487981,-0.904876252,0.679315524,-1.33204118,0.182846657,0.436722208
K13710,2224.051313,-1.306214673,0.981113727,-1.331359084,0.183070886,0.437104936
K07953,959.7547121,-2.878693647,2.162965772,-1.330901156,0.183221537,0.437180526
K01128,697.5048605,1.22474764,0.920258294,1.330873787,0.183230544,0.437180526
K14164,478.3248074,1.671466099,1.257677063,1.32901056,0.183844486,0.438425711
K06329,366.88626,-1.322465692,0.995157771,-1.328900533,0.183880788,0.438425711
K04750,1672.99822,1.373545061,1.034171209,1.32816022,0.184125183,0.438829885
K06969,12876.98898,0.568805493,0.428318051,1.327997947,0.184178785,0.438829885
K03273,4953.633977,1.544983864,1.163816392,1.327515126,0.18433834,0.439056903
K05100,1139.745861,-2.736005353,2.061684042,-1.327073061,0.184484516,0.439251909
K16327,1239.349802,-0.843255757,0.635749189,-1.326396906,0.184708263,0.439615732
K01006,376092.8035,0.526886253,0.397283474,1.326222429,0.184766032,0.439615732
K06123,110.6733723,2.262624094,1.706356015,1.325997666,0.18484047,0.439639712
K04067,224.4103917,2.086442081,1.573835901,1.325704973,0.184937439,0.439717246
