kegg,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
K10630,1877.584642,-8.842267059,1.340584695,-6.59582874,4.23E-11,3.66E-09
K06592,598.8556597,-6.822468131,1.03464487,-6.59401919,4.28E-11,3.66E-09
K13193,1195.68295,-9.340807304,1.417014804,-6.591891121,4.34E-11,3.66E-09
K14951,1216.299837,-6.670608636,1.01869364,-6.548198962,5.82E-11,4.85E-09
K14217,4708.589122,-2.762353192,0.422315713,-6.54096712,6.11E-11,5.03E-09
K07326,375.0478526,9.025688977,1.382466747,6.52868432,6.63E-11,5.40E-09
K10502,955.0019318,-10.37393211,1.591058843,-6.520143587,7.02E-11,5.64E-09
K17584,584.903986,-10.14177758,1.556966054,-6.513807767,7.33E-11,5.82E-09
K08867,614.9992769,-8.693488382,1.336453617,-6.504893453,7.77E-11,6.10E-09
K07520,1056.975716,-8.911080025,1.370333675,-6.502854152,7.88E-11,6.12E-09
K00405,621.4001278,13.42090794,2.065981709,6.496140735,8.24E-11,6.32E-09
K04570,698.0559798,-12.14755026,1.871303399,-6.491491584,8.50E-11,6.45E-09
K02016,11522.14658,-1.932565205,0.298460611,-6.475109728,9.47E-11,7.11E-09
K10213,1316.393818,6.207420075,0.964829178,6.433698541,1.25E-10,9.11E-09
K00795,2037.648617,9.383380072,1.458570132,6.433273154,1.25E-10,9.11E-09
K01795,526.6747382,-11.74112046,1.825209261,-6.432753058,1.25E-10,9.11E-09
K16708,954.558117,-5.191037996,0.810818676,-6.402218089,1.53E-10,1.10E-08
K07467,960.7939921,-5.217218925,0.815351571,-6.398735355,1.57E-10,1.11E-08
K01534,79572.18274,-2.774581562,0.433865499,-6.395026954,1.61E-10,1.13E-08
K16754,649.7389851,-7.246263489,1.13419758,-6.38888992,1.67E-10,1.16E-08
K10626,3429.698514,-8.281938473,1.296906828,-6.385916316,1.70E-10,1.18E-08
K15157,853.8598976,-10.55216191,1.654255788,-6.378797033,1.78E-10,1.22E-08
K03065,1039.932104,-7.174108975,1.126526794,-6.36834296,1.91E-10,1.29E-08
K08332,1042.231971,-12.72578389,2.000126296,-6.362490164,1.99E-10,1.33E-08
K04390,3738.043586,-12.87828733,2.026138896,-6.356073296,2.07E-10,1.37E-08
K15410,682.3631993,-6.077822069,0.957458382,-6.347870761,2.18E-10,1.43E-08
K14290,904.6922894,-11.55946321,1.825635775,-6.331746655,2.42E-10,1.58E-08
K01848,497.3044833,12.13750528,1.921482351,6.316740448,2.67E-10,1.72E-08
K09604,878.9742931,-10.20586781,1.641660494,-6.216795647,5.07E-10,3.24E-08
K01231,841.7465524,-10.17088098,1.641277488,-6.19692956,5.76E-10,3.64E-08
K01108,2625.428451,-9.46062459,1.530855193,-6.179960478,6.41E-10,4.02E-08
K17079,886.5844715,-9.063120961,1.472005846,-6.15698707,7.41E-10,4.58E-08
K06645,1219.876645,-10.74677411,1.745671147,-6.156242042,7.45E-10,4.58E-08
K05113,637.020797,-8.370161377,1.3654528,-6.129952921,8.79E-10,5.36E-08
K04721,609.559531,-11.95196611,1.962959529,-6.088748105,1.14E-09,6.88E-08
