full_classification	GM1a_eukulele_ALL.txt	GM4c_eukulele_ALL.txt	GM4a_eukulele_ALL.txt	GM1c_eukulele_ALL.txt	GM4b_eukulele_ALL.txt	GM1b_eukulele_ALL.txt
 Bacteria;  Proteobacteria;  Gammaproteobacteria; Gammaproteobacteria; Alteromonadales; Colwelliaceae	4.35286	20.2131	47.29736	1.57862	7.20312	
 Bacteria;  Proteobacteria;  Gammaproteobacteria; Gammaproteobacteria; Alteromonadales; Colwelliaceae; Colwellia	4.08781		5.4981			
 Bacteria;  Proteobacteria;  Gammaproteobacteria; Gammaproteobacteria; Alteromonadales; Idiomarinaceae	53.64692	19.751060000000003	29.66562	8.45353	41.94127	11.35006
 Bacteria;  Proteobacteria;  Gammaproteobacteria; Gammaproteobacteria; Alteromonadales; Pseudoalteromonadaceae	59.86321	348.92347	163.14266	27.82949	11.81302	2.97701
 Bacteria;  Proteobacteria;  Gammaproteobacteria; Gammaproteobacteria; Cellvibrionales	1402.86342	1199.9182499999995	1284.7443500000002	1662.18404	724.1744400000002	1231.92366
 Bacteria;  Proteobacteria;  Gammaproteobacteria; Gammaproteobacteria; Cellvibrionales; Microbulbiferaceae	119.35729	171.74039999999997	132.73810000000003	20.670350000000003	178.41266000000002	32.47491
 Bacteria;  Proteobacteria;  Gammaproteobacteria; Gammaproteobacteria; Cellvibrionales; Microbulbiferaceae; Microbulbifer	41.5486		2.53623	1.29565	2.43333	3.22059
 Bacteria;  Proteobacteria;  Gammaproteobacteria; Gammaproteobacteria; Enterobacterales	9237.038330000005	8759.811029999999	8773.820799999998	9010.76456	8707.27595	5408.222889999999
 Bacteria;  Proteobacteria;  Gammaproteobacteria; Gammaproteobacteria; Enterobacterales; Morganellaceae	2478.82225	4979.455970000001	5132.376010000001	2789.2622700000006	4863.9589700000015	2226.7663299999995
 Bacteria;  Proteobacteria;  Gammaproteobacteria; Gammaproteobacteria; Oceanospirillales	446.47414	468.3309800000001	329.5046799999999	908.67327	440.4345300000001	241.65766
 Bacteria;  Proteobacteria;  Gammaproteobacteria; Gammaproteobacteria; Oceanospirillales; Halomonadaceae	158.35479999999998	57.77428	45.85856999999999	20.92697	53.24199	10.31718
 Bacteria;  Proteobacteria;  Gammaproteobacteria; Gammaproteobacteria; Thiotrichales	428.14462	221.20204000000004	223.45042	530.40678	330.47252000000003	285.9771
 Bacteria;  Proteobacteria;  Gammaproteobacteria; Gammaproteobacteria; Thiotrichales; Piscirickettsiaceae	956.56326	258.80583	341.49118	265.1341	340.06793000000005	191.52407
 Bacteria;  Proteobacteria;  Gammaproteobacteria; Gammaproteobacteria; Unclassified	2045.2087100000008	1531.2020600000003	2110.19965	2334.64481	3056.077619999999	1362.8164499999998
 Bacteria;  Proteobacteria;  Gammaproteobacteria; Gammaproteobacteria; Unclassified; Unclassified	390.87087	166.27907	355.3996400000001	4.509510000000001	543.35298	41.5058
 Bacteria;  Proteobacteria;  Gammaproteobacteria; Gammaproteobacteria; Unclassified; Unclassified; Unclassified	0.0	12.62002	38.84287	1.65714	53.09036	
 Bacteria;  Proteobacteria;  Gammaproteobacteria; Gammaproteobacteria; Vibrionales	8120.922789999998	4186.327949999998	6519.484369999997	7919.667689999997	5875.626970000002	5283.466559999998
 Bacteria;  Proteobacteria;  Gammaproteobacteria; Gammaproteobacteria; Vibrionales; Vibrionaceae	2054.56804	802.1453700000002	1589.9608000000003	1779.6521300000006	2076.722950000001	1586.3524200000002
 Bacteria;  Proteobacteria;  Gammaproteobacteria; Gammaproteobacteria; Vibrionales; Vibrionaceae; Photobacterium	38.07919	98.3539	92.63608000000002	12.09582	177.15686000000002	2.0
 Bacteria;  Terrabacteria group	46.58608			30.75861	14.44705	
 Bacteria;  Terrabacteria group;  Actinobacteria	2849.87025	792.19944	1494.8519500000004	1513.4611699999998	1014.2158299999998	987.73451
 Bacteria;  Terrabacteria group;  Actinobacteria; Actinobacteria (Class)	28368.697750000007	23569.53858999996	27962.955339999982	21249.30310000001	27694.53072999998	15905.533589999994
 Bacteria;  Terrabacteria group;  Actinobacteria; Actinobacteria (Class); Micrococcales	138.61995000000002	408.89814999999993	490.91023999999993	363.0847200000001	344.3438000000001	45.27505
 Bacteria;  Terrabacteria group;  Actinobacteria; Actinobacteria (Class); Micrococcales; Microbacteriaceae	89.15548999999999	126.026	157.10174000000004	95.22549	185.72359	117.99222
 Bacteria;  Terrabacteria group;  Actinobacteria; Actinobacteria (Class); Micrococcales; Microbacteriaceae; Pontimonas	13.66768	8.56785	7.73169	2.0	2.7362	
 Bacteria;  Terrabacteria group;  Actinobacteria; Actinobacteria (Class); Micromonosporales	705.93315	635.2490700000001	900.1728299999997	375.0214	241.12295	766.1911499999999
 Bacteria;  Terrabacteria group;  Actinobacteria; Actinobacteria (Class); Pseudonocardiales	1998.9270100000003	1737.0159100000008	2110.989760000001	1728.13745	1035.4164999999996	696.7439899999997
 Bacteria;  Terrabacteria group;  Actinobacteria; Actinobacteria (Class); Pseudonocardiales; Pseudonocardiaceae	49.3699	63.84377	54.55653	43.42204	92.36520000000002	72.80322
 Bacteria;  Terrabacteria group;  Actinobacteria; Actinobacteria (Class); Pseudonocardiales; Pseudonocardiaceae; Actinoalloteichus	8.72264	6.75833	6.41957		26.50962	
 Bacteria;  Terrabacteria group;  Actinobacteria; Actinobacteria (Class); Streptomycetales	2150.5833300000004	1916.5159399999995	2502.59064	1393.75006	2519.74862	1036.96815
 Bacteria;  Terrabacteria group;  Actinobacteria; Actinobacteria (Class); Streptomycetales; Streptomycetaceae	57.6648	323.52048	405.05447	88.99761000000001	537.88949	21.25495
 Bacteria;  Terrabacteria group;  Cyanobacteria/Melainabacteria group	705.50766	265.28021	438.81797	229.83309	566.9570599999998	275.30827
 Bacteria;  Terrabacteria group;  Cyanobacteria/Melainabacteria group; Oscillatoriophycideae	9507.299579999992	10275.32632999999	10113.691560000005	8669.570699999995	12439.51019	6335.447929999999
 Bacteria;  Terrabacteria group;  Cyanobacteria/Melainabacteria group; Oscillatoriophycideae; Oscillatoriales	3645.78716	4863.854259999997	6177.635170000004	2849.77692	8385.124499999998	1519.2228999999998
 Bacteria;  Terrabacteria group;  Cyanobacteria/Melainabacteria group; Oscillatoriophycideae; Oscillatoriales; Microcoleaceae	248.14835	610.3837000000001	540.96618	269.50641	372.2406699999999	138.02806
 Bacteria;  Terrabacteria group;  Cyanobacteria/Melainabacteria group; Oscillatoriophycideae; Oscillatoriales; Microcoleaceae; Arthrospira	434.45051	148.51987	16.44917	336.82424	7.57987	150.7553
 Bacteria;  Terrabacteria group;  Cyanobacteria/Melainabacteria group; Unclassified	41307.51544999999	30947.55888	10319.16352	34926.23784	6808.845569999999	21758.76145
 Bacteria;  Terrabacteria group;  Cyanobacteria/Melainabacteria group; Unclassified; Nostocales	1228.7735299999997	302.80285	388.67289000000005	302.17095	380.6348899999999	154.62073
 Bacteria;  Terrabacteria group;  Firmicutes	17262.95224000001	8367.868189999992	12304.706620000004	10354.097919999998	15988.243639999988	8153.734880000004
 Bacteria;  Terrabacteria group;  Firmicutes; Bacilli	155853.75951000038	74840.63106000013	108224.0344500001	97403.46859000044	120321.6631500004	71647.12838000013
 Bacteria;  Terrabacteria group;  Firmicutes; Bacilli; Bacillales	84124.306	56470.82804999992	72630.49811000002	66309.39466000009	79424.50491	43800.05266999994
 Bacteria;  Terrabacteria group;  Firmicutes; Bacilli; Bacillales; Bacillaceae	9916.786849999997	6604.355919999998	7490.20230999999	7178.065569999999	8999.690879999998	4682.994859999999
 Bacteria;  Terrabacteria group;  Firmicutes; Bacilli; Bacillales; Bacillaceae; Bacillus	122.43249000000002	111.36222	236.92248	51.74813000000001	257.35974	44.27083
 Bacteria;  Terrabacteria group;  Firmicutes; Bacilli; Bacillales; Paenibacillaceae	8917.15146	6334.466360000003	7360.110720000001	4915.12684	8332.80408999999	4169.784409999998
 Bacteria;  Terrabacteria group;  Firmicutes; Bacilli; Bacillales; Paenibacillaceae; Paenibacillus	1591.88074	290.67047	636.6740799999997	598.4073099999999	644.71836	382.91935000000007
 Bacteria;  Terrabacteria group;  Firmicutes; Bacilli; Lactobacillales	11285.317349999994	4034.811690000002	8023.177670000005	7194.397139999998	10023.81771999999	6716.936140000002
 Bacteria;  Terrabacteria group;  Firmicutes; Bacilli; Lactobacillales; Streptococcaceae	11390.766019999995	8510.254889999993	7765.192499999997	9453.03475	11117.204609999992	6872.516080000001
 Bacteria;  Terrabacteria group;  Firmicutes; Bacilli; Lactobacillales; Streptococcaceae; Streptococcus	114.13897	739.71585	923.17427	132.05739	100.48522	84.16338999999999
 Bacteria;  Terrabacteria group;  Firmicutes; Bacilli; Lactobacillales; Streptococcaceae; Streptococcus; Unclassified	2.97949				1.81111	2.2549
Archaea	525.8536099999999	562.5607100000002	540.8244199999999	300.68447000000003	174.06342	698.33207
Archaea; DPANN group; Candidatus Nanohaloarchaeota	6.17326	11.34105	53.07432		47.27552	4.58804
Archaea; DPANN group; Candidatus Nanohaloarchaeota; Nanohaloarchaea	633.67303	206.8741	484.9490900000001	439.62163	410.2554	394.59744
Archaea; DPANN group; Candidatus Nanohaloarchaeota; Nanohaloarchaea; Unclassified	41.1198	128.43977	126.00139	44.70227	67.05909	14.50997
Archaea; DPANN group; Nanoarchaeota; Unclassified	495.43351	9.23245	11.21263	102.9041	23.53646	37.918130000000005
Archaea; DPANN group; Nanoarchaeota; Unclassified; Nanoarchaeales	10.82531	3.8092		6.82538		8.1735
Archaea; Euryarchaeota	1525.70394	885.0674599999998	1296.27696	877.1825100000004	1067.2166699999998	1107.3793899999996
Archaea; Euryarchaeota; Archaeoglobi	1541.3512200000005	2360.7059	2455.95097	1305.19408	2284.75097	1308.08068
Archaea; Euryarchaeota; Archaeoglobi; Archaeoglobi	26559.402750000023	12825.892120000006	16612.881060000018	19023.450230000013	17486.087770000016	12923.22748999999
Archaea; Euryarchaeota; Archaeoglobi; Archaeoglobi; Archaeoglobales	5826.253609999999	5519.749440000003	5464.494470000004	5546.873229999998	7011.114040000001	3532.54579
Archaea; Euryarchaeota; Archaeoglobi; Archaeoglobi; Archaeoglobales; Archaeoglobaceae	272.68438000000003	206.66691000000003	248.41748999999987	247.92813	361.47636	185.09080000000003
Archaea; Euryarchaeota; Archaeoglobi; Archaeoglobi; Archaeoglobales; Archaeoglobaceae; Ferroglobus	2.32143		2.86905		2.23684	
Archaea; Euryarchaeota; Halobacteria	3202.298830000001	1722.343840000001	1697.8928199999991	2577.10006	3095.9511399999988	1527.7076599999996
Archaea; Euryarchaeota; Halobacteria; Halobacteria	27720.91376	23030.20948999997	25664.15785000002	21480.982020000025	27727.788059999995	15353.982799999992
Archaea; Euryarchaeota; Halobacteria; Halobacteria; Halobacteriales	1724.0629800000008	1301.1092200000005	1102.44278	896.6934200000002	1145.98168	708.8198199999998
Archaea; Euryarchaeota; Halobacteria; Halobacteria; Halobacteriales; Halobacteriaceae	65.5111	50.743	65.49722	8.44586	32.99429	3.48428
Archaea; Euryarchaeota; Halobacteria; Halobacteria; Haloferacales	2905.13291	3789.7697799999983	4830.734750000003	1945.1935	4408.417310000002	1904.0356100000008
Archaea; Euryarchaeota; Halobacteria; Halobacteria; Haloferacales; Haloferacaceae	20.64657	44.43852	40.28565000000001	7.86673	51.33973	8.639009999999999
